DateTime,Bank1.B1,Bank1.B2,Bank1.B3,Bank1.B4,Bank1.B5,Bank1.B6,Bank1.B7,Bank1.B8,Bank1.B9,Bank1.B10,Bank1.B11,Bank1.B12,Bank1.B13,Bank1.B14,Bank1.B15,Bank1.B16,Bank1.B17,Bank1.B18,Bank1.B19,Temperature,Current
2024-07-14 15:12:50,7.012,6.152,7.616,7.893,7.817,6.302,6.95,7.652,7.184,7.369,7.259,6.976,7.507,7.507,6.285,7.338,6.932,7.423,6.068,37.4,6.2
2024-07-14 15:12:55,7.909,7.632,7.083,6.159,6.478,7.871,7.019,6.159,6.995,6.536,6.009,7.471,6.548,6.113,7.551,7.781,7.667,6.891,6.81,37.0,5.97
2024-07-14 15:13:00,6.971,6.702,7.338,7.564,6.018,6.074,7.16,6.027,6.415,6.746,6.343,7.93,6.893,7.284,6.948,6.928,7.748,7.288,6.883,37.8,8.65
2024-07-14 15:13:05,6.403,7.276,7.781,7.13,7.009,6.053,7.447,6.052,6.305,7.956,6.146,6.418,7.599,6.085,6.453,7.898,6.621,6.022,7.401,38.7,7.05
2024-07-14 15:13:10,6.698,6.133,6.778,7.809,7.449,7.406,6.283,7.925,7.734,7.415,6.667,7.446,6.786,6.542,7.436,6.714,6.02,6.97,7.095,37.3,5.95
2024-07-14 15:13:15,7.01,6.347,7.118,6.125,7.956,7.613,7.15,6.184,7.805,7.981,6.223,7.071,7.503,6.03,7.116,6.71,7.372,6.001,6.858,35.8,6.79
2024-07-14 15:13:20,7.093,7.559,6.384,7.365,7.448,7.537,6.41,7.587,7.802,6.888,7.895,6.787,6.446,7.969,6.182,7.99,7.097,7.538,7.997,36.3,7.12
2024-07-14 15:13:25,7.045,6.625,7.354,7.612,7.128,7.116,7.885,7.881,6.913,6.646,6.008,7.749,6.181,6.628,6.907,6.745,7.069,7.651,7.695,35.4,6.09
2024-07-14 15:13:30,7.964,6.985,7.449,6.765,7.448,7.248,7.91,6.358,7.211,7.605,6.187,7.859,6.217,7.338,7.656,7.636,6.113,6.283,6.286,35.3,7.89
2024-07-14 15:13:35,7.087,6.804,6.402,7.141,7.144,6.883,7.139,6.864,7.01,7.146,7.876,6.199,6.924,7.54,6.308,6.873,6.861,7.97,7.479,39.0,8.45
